",10.000,"$150,000 to $199,999","7,271","+/-1,490","5,781","8,761"
"C19001H",11.000,"$200,000 or more","11,019","+/-1,463","9,556","12,482"
"C19001I",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C19001I",.,"Universe:  Households with a householder who is Hispanic or Latino",,,,
"C19001I",1.000,"Total:","54,954","+/-3,145","51,809","58,099"
"C19001I",2.000,"Less than $10,000","3,801","+/-976","2,825","4,777"
"C19001I",3.000,"$10,000 to 
