04",78.0,"1.51 or more","0.5%","0.1","0.4%","0.1",
"DP04",78.3,,,,,,
"DP04",78.5,"VALUE",,,,,
"DP04",79.0,"Owner-occupied units","143,675","2,768","149,654","2,473",
"DP04",80.0,"Less than $50,000","1.3%","0.3","0.5%","0.2","*"
"DP04",81.0,"$50,000 to $99,999","5.9%","0.6","4.7%","0.5","*"
"DP04",82.0,"$100,000 to $149,999","28.3%","1.0","26.2%","1.2",
"DP04",83.0,"$150,000 to $199,999","27.2%","1.2","23.3%","1.1","*"
"DP04",84.0,"$200,000 to $299,999","20.8%","1.0","18.6%","0.9",
"DP04",85.0,"$300,000 to $
