estry, fishing and hunting, and mining:","859","+/-495","364","1,354"
"C24040",31.000,"Agriculture, forestry, fishing and hunting","859","+/-495","364","1,354"
"C24040",32.000,"Mining","0","+/-303","0","303"
"C24040",33.000,"Construction","2,821","+/-951","1,870","3,772"
"C24040",34.000,"Manufacturing","4,326","+/-1,201","3,125","5,527"
"C24040",35.000,"Wholesale trade","2,814","+/-909","1,905","3,723"
"C24040",36.000,"Retail trade","14,454","+/-2,326","12,128","16,780"
"C24040",37.000,"Transportation and w
