ispanic or Latino",102,"Women 15 to 50 years who had a birth in the past 12 months","13,857","+/-2,067","8,155","+/-1,676"
"450","Not Hispanic or Latino",103,"Unmarried women 15 to 50 years who had a birth in the past 12 months","6,501","+/-1,622","3,523","+/-1,243"
"450","Not Hispanic or Latino",104,"As a percent of all women with a birth in the past 12 months","46.9","+/-8.3","43.2","+/-11.6"
"450","Not Hispanic or Latino",105,"Population 30 years and over","568,176","+/-257","424,156","+/-257"
"450","Not
