  N","             N"
"50000US3612","4"," 81","             N","             N","             N"
"50000US3612","4"," 82","         6,854","         4,245","         9,463"
"50000US3612","4"," 83","         2,261","           800","         3,722"
"50000US3612","4"," 84","           193","             0","           516"
"50000US3612","4"," 85","             0","             0","           503"
"50000US3612","4"," 86","           499","             0","         1,114"
"50000US3612","4"," 87","        
