 $14,999","1,046","+/-472","574","1,518"
"C19131",64.000,"$15,000 to $24,999","2,190","+/-735","1,455","2,925"
"C19131",65.000,"$25,000 to $34,999","1,485","+/-540","945","2,025"
"C19131",66.000,"$35,000 to $49,999","2,802","+/-870","1,932","3,672"
"C19131",67.000,"$50,000 to $74,999","2,355","+/-542","1,813","2,897"
"C19131",68.000,"$75,000 to $99,999","719","+/-377","342","1,096"
"C19131",69.000,"$100,000 to $149,999","553","+/-341","212","894"
"C19131",70.000,"$150,000 to $199,999","81","+/-132","0","213
