city,Louisiana,"45,856","46,045","46,308","46,342","46,342"
10,New Iberia city,Louisiana,"32,506","32,486","32,581","32,652","32,623"
11,Houma city,Louisiana,"32,130","32,213","32,332","32,393",(X)
12,Slidell city,Louisiana,"26,466","25,909","25,769","25,754","25,695"
13,Opelousas city,Louisiana,"22,688","22,775","22,840","22,865","22,860"
14,Ruston city,Louisiana,"20,592","20,540","20,545","20,546","20,546"
15,Sulphur city,Louisiana,"20,042","20,216","20,487","20,512","20,512"
16,Natchitoches city,Louisian
