%","1.7","*"
"DP04",60.3,,,,,,
"DP04",60.5,"HOUSE HEATING FUEL",,,,,
"DP04",61.0,"Occupied housing units","36,207","989","34,837","844",
"DP04",62.0,"Utility gas","N","N","N","N","N"
"DP04",63.0,"Bottled, tank, or LP gas","N","N","N","N","N"
"DP04",64.0,"Electricity","N","N","N","N","N"
"DP04",65.0,"Fuel oil, kerosene, etc.","N","N","N","N","N"
"DP04",66.0,"Coal or coke","N","N","N","N","N"
"DP04",67.0,"Wood","N","N","N","N","N"
"DP04",68.0,"Solar energy","N","N","N","N","N"
"DP04",69.0,"Other fuel","N","N"
