 $44,999","65,392","+/-4,122","61,270","69,514"
"B20005",20.000,"$45,000 to $49,999","51,358","+/-3,572","47,786","54,930"
"B20005",21.000,"$50,000 to $54,999","55,296","+/-4,133","51,163","59,429"
"B20005",22.000,"$55,000 to $64,999","81,113","+/-4,505","76,608","85,618"
"B20005",23.000,"$65,000 to $74,999","65,096","+/-3,861","61,235","68,957"
"B20005",24.000,"$75,000 to $99,999","122,552","+/-5,283","117,269","127,835"
"B20005",25.000,"$100,000 or more","202,505","+/-5,562","196,943","208,067"
"B20005",2
