ss than $50,000","10.9","+/-1.2",,,,,,,,,,
"S2506",3.0,"$50,000 to $99,999","37.3","+/-2.2",,,,,,,,,,
"S2506",4.0,"$100,000 to $149,999","22.6","+/-1.8",,,,,,,,,,
"S2506",5.0,"$150,000 to $199,999","13.6","+/-1.5",,,,,,,,,,
"S2506",6.0,"$200,000 to $299,999","8.2","+/-1.1",,,,,,,,,,
"S2506",7.0,"$300,000 to $499,999","5.9","+/-0.9",,,,,,,,,,
"S2506",8.0,"$500,000 or more","1.5","+/-0.5",,,,,,,,,,
"S2506",9.0,"Median (dollars)","103,900","+/-4,520",,,,,,,,,,
"S2506",9.3,,,,,,,,,,,,,
"S2506",9.5,"MORTGAGE STA
