7"
"B24092",19.000,"Self-employed in own not incorporated business","12,104","+/-6,209","5,895","18,313"
"B24092",20.000,"Unpaid family workers","-","**","**","**"
"B25001",.,"HOUSING UNITS",,,,
"B25001",.,"Universe:  Housing units",,,,
"B25001",1.000,"Total","293,004","+/-727","292,277","293,731"
"B25002",.,"OCCUPANCY STATUS",,,,
"B25002",.,"Universe:  Housing units",,,,
"B25002",1.000,"Total:","293,004","+/-727","292,277","293,731"
"B25002",2.000,"Occupied","236,700","+/-3,436","233,264","240,136"
"B25002
