,100,"Female, bachelor's degree or higher","21.6","+/-1.4","20.5","+/-3.4"
"601","Foreign born",101,"Women 15 to 50 years","190,951","+/-2,956","33,810","+/-3,080"
"601","Foreign born",102,"Women 15 to 50 years who had a birth in the past 12 months","11,203","+/-2,227","1,876","+/-902"
"601","Foreign born",103,"Unmarried women 15 to 50 years who had a birth in the past 12 months","5,050","+/-1,689","681","+/-623"
"601","Foreign born",104,"As a percent of all women with a birth in the past 12 months","45.1",
