,41.000,"Management, business, and financial occupations:","4,582","+/-920","3,662","5,502"
"C24010",42.000,"Management occupations","2,493","+/-637","1,856","3,130"
"C24010",43.000,"Business and financial operations occupations","2,089","+/-787","1,302","2,876"
"C24010",44.000,"Professional and related occupations:","4,930","+/-968","3,962","5,898"
"C24010",45.000,"Computer and mathematical occupations","166","+/-146","20","312"
"C24010",46.000,"Architecture and engineering occupations","187","+/-171","16"
