.000,"With interest, dividends, or net rental income","69,260","+/-2,774","66,486","72,034"
"B19054",3.000,"No interest, dividends, or net rental income","233,104","+/-6,122","226,982","239,226"
"B19055",.,"SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS",,,,
"B19055",.,"Universe:  Households",,,,
"B19055",1.000,"Total:","302,364","+/-6,049","296,315","308,413"
"B19055",2.000,"With Social Security income","78,306","+/-3,334","74,972","81,640"
"B19055",3.000,"No Social Security income","224,058",
