nance, and repair occupations","224","+/-246","0","470"
"B24060",110.000,"Production, transportation, and material moving occupations:","475","+/-303","172","778"
"B24060",111.000,"Production occupations","169","+/-158","11","327"
"B24060",112.000,"Transportation and material moving occupations:","306","+/-225","81","531"
"B24060",113.000,"Supervisors, transportation and material moving workers","0","+/-265","0","265"
"B24060",114.000,"Air transportation workers","0","+/-265","0","265"
"B24060",115.000,"Mot
