nia,"1,722","1,735","1,743","1,758","1,771","1,781","1,786","1,786"
Ellport borough,Pennsylvania,"1,132","1,134","1,136","1,137","1,140","1,148","1,148","1,148"
Ellsworth borough,Pennsylvania,"1,039","1,046","1,055","1,060","1,071","1,081","1,083","1,083"
Ellwood City borough,Pennsylvania,"8,262","8,344","8,422","8,494","8,569","8,692","8,711","8,688"
Elverson borough,Pennsylvania,"1,164","1,125","1,114","1,093","1,043",977,959,959
Emlenton borough,Pennsylvania,756,757,763,766,773,782,784,784
Emmaus b
