5,000 to $99,999","12,925","+/-1,764","11,161","14,689"
"C19131",22.000,"$100,000 to $149,999","13,360","+/-1,546","11,814","14,906"
"C19131",23.000,"$150,000 to $199,999","4,109","+/-910","3,199","5,019"
"C19131",24.000,"$200,000 or more","4,994","+/-981","4,013","5,975"
"C19131",25.000,"Other family:","54,358","+/-4,400","49,958","58,758"
"C19131",26.000,"Male householder, no wife present:","15,819","+/-2,275","13,544","18,094"
"C19131",27.000,"With own children under 18 years:","7,538","+/-1,480","6,058"
