4.3, ,,,,,,,,,,,,,,
S0503,135,Median number of rooms,4.0,+/-0.1,3.7,+/-0.2,3.7,+/-0.2,3.8,+/-0.2,,,,,,
S0503,136,1.01 or more occupants per room,13.4,+/-0.4,5.6,+/-0.7,2.6,+/-1.0,6.3,+/-0.9,,,,,,
S0503,136.3, ,,,,,,,,,,,,,,
S0503,136.5,VEHICLES AVAILABLE,,,,,,,,,,,,,,
S0503,137,None,52.9,+/-0.7,49.4,+/-1.5,60.6,+/-3.5,46.6,+/-1.7,,,,,,
S0503,138,1 or more,47.1,+/-0.7,50.6,+/-1.5,39.4,+/-3.5,53.4,+/-1.7,,,,,,
S0503,138.3, ,,,,,,,,,,,,,,
S0503,138.5,SELECTED CHARACTERISTICS,,,,,,,,,,,,,,
S0503,139,No telephon
