002I",.,"Universe:  Hispanic or Latino population 25 years and over",,,,
"B15002I",1.000,"Total:","103,326","+/-4,637","98,689","107,963"
"B15002I",2.000,"Male:","51,014","+/-3,080","47,934","54,094"
"B15002I",3.000,"Less than 9th grade","7,260","+/-2,202","5,058","9,462"
"B15002I",4.000,"9th to 12th grade, no diploma","6,041","+/-1,262","4,779","7,303"
"B15002I",5.000,"High school graduate (includes equivalency)","17,949","+/-2,956","14,993","20,905"
"B15002I",6.000,"Some college, no degree","6,106","+/-1,
