4","  4","        11,844","         8,398","        15,290"
"50000US3917","4","  5","         7,363","         4,869","         9,857"
"50000US3917","4","  6","        14,226","         9,748","        18,704"
"50000US3917","4","  7","         7,575","         4,683","        10,467"
"50000US3917","4","  8","        13,137","         9,368","        16,906"
"50000US3917","4","  9","        10,347","         7,723","        12,971"
"50000US3917","4"," 10","             0","             0","           4
