99 ,SUGAR BEETS ,65 ,Riverside ,165 ,32.00 ,5280 ,42.01 ,TONS ,221800
2007 ,132999 ,SUGAR BEETS ,991 ,Sum of Others ,350 ,179.39 ,62788 ,85.98 ,TONS ,5398400
2007 ,132999 ,SUGAR BEETS , 999, State Totals,37724 ,37.04 ,1397200 ,44.46 ,    ,62113200
2007 ,158316 ,SUNFLOWER SEED PLANTING ,11 ,Colusa ,1790 ,0.81 ,1441 ,1900.07 ,TONS ,2738000
2007 ,158316 ,SUNFLOWER SEED PLANTING ,21 ,Glenn ,3456 ,0.55 ,1903 ,1859.70 ,TONS ,3539000
2007 ,158316 ,SUNFLOWER SEED PLANTING ,95 ,Solano ,6070 ,0.70 ,4249 ,1449.99
