+/-6.4","83.8","+/-26.3",,,,
"S0601",15.0,"Black or African American","46.4","+/-1.1","50.0","+/-1.4","22.4","+/-5.7","16.2","+/-26.3",,,,
"S0601",16.0,"American Indian and Alaska Native","N","N","N","N","N","N","N","N",,,,
"S0601",17.0,"Asian","N","N","N","N","N","N","N","N",,,,
"S0601",18.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N",,,,
"S0601",19.0,"Some other race","N","N","N","N","N","N","N","N",,,,
"S0601",20.0,"Two or more races","N","N","N","N","N","N","N","N",,,,
"
