23.000,"Construction laborers","120","+/-139","0","259"
"B24020",224.000,"Electricians","0","+/-265","0","265"
"B24020",225.000,"Painters and paperhangers","12","+/-22","0","34"
"B24020",226.000,"Pipelayers, plumbers, pipefitters, and steamfitters","0","+/-265","0","265"
"B24020",227.000,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers","0","+/-265","0","265"
"B24020",228.000,"Other construction workers and helpers","0","+/-265","0","265"
"B24020",2
