010D",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (ASIAN ALONE)",,,,
"B24010D",.,"Universe:  Civilian employed Asian alone population 16 years and over",,,,
"B24010D",1.000,"Total:","N","N","N","N"
"B24010D",2.000,"Male:","N","N","N","N"
"B24010D",3.000,"Management, professional, and related occupations:","N","N","N","N"
"B24010D",4.000,"Management, business, and financial occupations:","N","N","N","N"
"B24010D",5.000,"Management occupations except farmers and farm managers",
