47.000,"In Armed Forces","0","+/-283","0","283"
"B23001",148.000,"Civilian:","31,564","+/-2,377","29,187","33,941"
"B23001",149.000,"Employed","31,058","+/-2,422","28,636","33,480"
"B23001",150.000,"Unemployed","506","+/-314","192","820"
"B23001",151.000,"Not in labor force","24,044","+/-1,995","22,049","26,039"
"B23001",152.000,"62 to 64 years:","64,148","+/-3,318","60,830","67,466"
"B23001",153.000,"In labor force:","27,655","+/-2,318","25,337","29,973"
"B23001",154.000,"In Armed Forces","0","+/-283","0",
