50.000,"In labor force:","4,119","+/-847","3,272","4,966"
"B23002D",51.000,"In Armed Forces","89","+/-147","0","236"
"B23002D",52.000,"Civilian:","4,030","+/-859","3,171","4,889"
"B23002D",53.000,"Employed","3,628","+/-844","2,784","4,472"
"B23002D",54.000,"Unemployed","402","+/-328","74","730"
"B23002D",55.000,"Not in labor force","2,607","+/-784","1,823","3,391"
"B23002D",56.000,"25 to 54 years:","77,825","+/-1,427","76,398","79,252"
"B23002D",57.000,"In labor force:","57,030","+/-2,137","54,893","59,167"
