 householder, no wife present:","320","+/-280","40","600"
"C17023",8.000,"No own child","206","+/-211","0","417"
"C17023",9.000,"With own children","114","+/-174","0","288"
"C17023",10.000,"Female householder, no husband present:","1,556","+/-717","839","2,273"
"C17023",11.000,"No own child","281","+/-275","6","556"
"C17023",12.000,"With own children","1,275","+/-647","628","1,922"
"C17023",13.000,"Income in the past 12 months at or above poverty level:","22,782","+/-1,603","21,179","24,385"
"C17023",14.000
