t, professional, and related occupations","60,221","+/-2,810","29.9","+/-1.3"
"DP03",28.0,"Service occupations","33,465","+/-2,501","16.6","+/-1.2"
"DP03",29.0,"Sales and office occupations","51,751","+/-2,792","25.7","+/-1.4"
"DP03",30.0,"Farming, fishing, and forestry occupations","1,142","+/-518","0.6","+/-0.3"
"DP03",31.0,"Construction, extraction, maintenance and repair occupations","15,670","+/-1,641","7.8","+/-0.8"
"DP03",32.0,"Production, transportation, and material moving occupations","38,951","+/
