/,inq21997.tgz,1071162.nc,19970403,-25.3000,110.550,0.700000,460.500,11.8600,28.8400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1071163.nc,19970403,-23.7867,109.682,0.700000,460.500,10.5100,25.4100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1071164.nc,19970404,-19.4667,107.250,0.700000,460.500,9.80000,27.4100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1071165.nc,19970405,-14.3500,104.400,0.700000,177.700,25.3500,25.4400,,
woce-uot,./data/basins/sc/indian/1997/q2/,in
