man (032-045)",98,"Bachelor's degree or higher","22.3","+/-1.0","25.8","+/-2.2"
"535","German (032-045)",99,"Male, bachelor's degree or higher","22.9","+/-1.1","27.0","+/-3.1"
"535","German (032-045)",100,"Female, bachelor's degree or higher","21.6","+/-1.4","24.5","+/-3.1"
"535","German (032-045)",101,"Women 15 to 50 years","190,951","+/-2,956","34,181","+/-3,252"
"535","German (032-045)",102,"Women 15 to 50 years who had a birth in the past 12 months","11,203","+/-2,227","2,316","+/-1,055"
"535","German (
