nt","303","**","299","**",
"DP04",132.0,"Median (dollars)","806","**","864","**",
"DP04",132.3,,,,,,
"DP04",132.5,"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME",,,,,
"DP04",133.0,"Renter-occupied units","19,492","1,360","18,471","1,545",
"DP04",134.0,"Less than 15.0 percent","13.5%","2.7","10.8%","2.8",
"DP04",135.0,"15.0 to 19.9 percent","3.4%","1.3","13.1%","3.4","*"
"DP04",136.0,"20.0 to 24.9 percent","10.7%","2.7","13.1%","3.2",
"DP04",137.0,"25.0 to 29.9 percent","14.3%","3.1","8.1%","2.4",
"DP04",13
