     240","     19.2","   +/-1.2","              10.0","               +/-3.9"
"S0201","         241","     21.8","   +/-3.5","N","N"
"S0201","         242","      5.9","   +/-0.8","               2.8","               +/-2.1"
"S0201","         243","      8.2","   +/-1.3","               5.2","               +/-4.8"
"S0201","         244","     10.6","   +/-3.4","N","N"
"S0201","         245","     34.7","   +/-2.1","              16.8","               +/-6.7"
"S0201","         246","     44.5","   +/-2.6",
