9,999","8,990","+/-1,605","7,385","10,595"
"C25121",16.000,"Value $200,000 or more","13,964","+/-1,924","12,040","15,888"
"C25121",17.000,"$35,000 to $49,999:","28,852","+/-2,650","26,202","31,502"
"C25121",18.000,"Value less than $60,000","2,373","+/-693","1,680","3,066"
"C25121",19.000,"Value $60,000 to $99,999","1,993","+/-718","1,275","2,711"
"C25121",20.000,"Value $100,000 to $199,999","8,678","+/-1,561","7,117","10,239"
"C25121",21.000,"Value $200,000 or more","15,808","+/-1,995","13,813","17,803"
"C2
