can (993-994)",171,"Public transportation (excluding taxicab)","0.2","+/-0.2","0.7","+/-0.6"
"573","American (993-994)",172,"Walked","1.1","+/-0.3","1.2","+/-0.8"
"573","American (993-994)",173,"Other means","0.7","+/-0.2","0.7","+/-0.6"
"573","American (993-994)",174,"Worked at home","3.5","+/-0.6","2.4","+/-1.1"
"573","American (993-994)",175,"Mean travel time to work (minutes)","22.0","+/-0.8","21.7","+/-1.5"
"573","American (993-994)",176,"Civilian employed population 16 years and over","300,045","+/-5,
