to $4,999","61","+/-101","0","162"
"B20005",8.000,"$5,000 to $7,499","657","+/-449","208","1,106"
"B20005",9.000,"$7,500 to $9,999","928","+/-596","332","1,524"
"B20005",10.000,"$10,000 to $12,499","1,560","+/-670","890","2,230"
"B20005",11.000,"$12,500 to $14,999","1,222","+/-775","447","1,997"
"B20005",12.000,"$15,000 to $17,499","4,572","+/-1,327","3,245","5,899"
"B20005",13.000,"$17,500 to $19,999","3,551","+/-1,416","2,135","4,967"
"B20005",14.000,"$20,000 to $22,499","4,447","+/-1,334","3,113","5,781"
