/,inq21997.tgz,1315868.nc,19970614,6.2667,93.6333,1.00000,460.000,10.2900,29.9600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315869.nc,19970614,6.2333,92.8500,1.00000,460.000,10.5000,29.8100,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315870.nc,19970615,6.1833,92.0833,1.00000,460.000,10.2500,29.6500,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1315871.nc,19970615,6.1667,91.3333,1.00000,460.000,10.1100,29.6200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1
