0,"Foreign-born parent:","7,650","+/-2,042","5,608","9,692"
"B05009",36.000,"Child is native","6,491","+/-1,876","4,615","8,367"
"B05009",37.000,"Child is foreign born","1,159","+/-607","552","1,766"
"B05010",.,"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS",,,,
"B05010",.,"Universe: Own children under 18 years living in familes or subfamilies for whom poverty status is determined",,,,
