ve",245,"With related children under 5 years only","10.6","+/-4.3","9.3","+/-4.6"
"600","Native",246,"Married-couple family","3.5","+/-0.8","2.5","+/-0.7"
"600","Native",247,"With related children under 18 years","4.7","+/-1.5","3.0","+/-1.3"
"600","Native",248,"With related children under 5 years only","5.5","+/-4.5","4.9","+/-4.5"
"600","Native",249,"Female householder, no husband present, family","25.7","+/-4.1","23.8","+/-4.0"
"600","Native",250,"With related children under 18 years","31.2","+/-5.2","30
