eholder, no husband present, family:","24,834","+/-5,951","18,883","30,785"
"B11002F",10.000,"Relatives","21,505","+/-4,983","16,522","26,488"
"B11002F",11.000,"Nonrelatives","3,329","+/-1,333","1,996","4,662"
"B11002F",12.000,"In nonfamily households","15,089","+/-3,294","11,795","18,383"
"B11002G",.,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES)",,,,
"B11002G",.,"Universe:  Population in households with a householder who is Two or more races",,,,
"B11002G",1
