n with one or more other races",252,"All people","11.5","+/-1.2","10.4","+/-1.3"
"003","White alone or in combination with one or more other races",253,"Under 18 years","15.4","+/-2.3","13.3","+/-2.4"
"003","White alone or in combination with one or more other races",254,"Related children under 18 years","14.8","+/-2.3","12.8","+/-2.4"
"003","White alone or in combination with one or more other races",255,"Related children under 5 years","16.5","+/-3.4","12.3","+/-3.5"
"003","White alone or in combination w
