me other race alone",102,"Women 15 to 50 years who had a birth in the past 12 months","13,857","+/-2,067","2,825","+/-976"
"070","Some other race alone",103,"Unmarried women 15 to 50 years who had a birth in the past 12 months","6,501","+/-1,622","1,562","+/-823"
"070","Some other race alone",104,"As a percent of all women with a birth in the past 12 months","46.9","+/-8.3","55.3","+/-17.8"
"070","Some other race alone",105,"Population 30 years and over","568,176","+/-257","79,985","+/-4,223"
"070","Some ot
