0.3","49.3%","0.2",
"DP05",3.0,"Female","50.5%","0.3","50.7%","0.2",
"DP05",3.3,,,,,,
"DP05",4.0,"Under 5 years","6.4%","0.2","6.5%","0.1",
"DP05",5.0,"5 to 9 years","5.1%","0.5","5.6%","0.4",
"DP05",6.0,"10 to 14 years","7.2%","0.5","6.2%","0.4",
"DP05",7.0,"15 to 19 years","5.3%","0.1","5.6%","0.2",
"DP05",8.0,"20 to 24 years","5.6%","0.3","5.1%","0.2",
"DP05",9.0,"25 to 34 years","12.3%","0.4","13.0%","0.3",
"DP05",10.0,"35 to 44 years","11.1%","0.4","11.4%","0.3",
"DP05",11.0,"45 to 54 years","13.0%","0
