C11002C",.,"HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE  ALONE)",,,,
"C11002C",.,"Universe:  Population in households with a householder who is American Indian and Alaska Native alone",,,,
"C11002C",1.000,"Total:","12,512","+/-2,894","9,618","15,406"
"C11002C",2.000,"In family households","11,294","+/-2,852","8,442","14,146"
"C11002C",3.000,"In nonfamily households","1,218","+/-555","663","1,773"
"C11002D",.,"HOUSEHOLD TYPE FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE)",,,,
"
