 
Total                              ,23457,  ,18927,  ,876,  ,18051,  ,64,  ,3612,  ,52,  ,232,  ,22011,  
2006,,,,,,,,,,,,,,,,,,
January                               ,1982,  ,1618,  ,76,  ,1543,  ,6,  ,305,  ,271,  ,39,  ,2162,  
February                              ,1801,  ,1458,  ,68,  ,1390,  ,6,  ,262,  ,495,  ,-11,  ,2141,  
March                                 ,1993,  ,1630,  ,76,  ,1554,  ,6,  ,279,  ,206,  ,77,  ,2122,  
April                                 ,1920,  ,1582,  ,74,  ,1508,  
