,149","9,668",- ,- ,- ,"1,518","8,112",,,,,,,,,,
18 to 24 years ,"35,063","20,057",- ,- ,- ,37,"2,211",,,,,,,,,,
25 years and over ,"177,316","13,118",- ,- ,- ,117,"1,794",,,,,,,,,,
..Foreign born ,"36,596","7,382",107,113,530,852,"1,448",,,,,,,,,,
3 to 5 years ,293,188,107,81,- ,- ,- ,,,,,,,,,,
6 to 13 years ,"1,296","1,225",- ,32,530,627,36,,,,,,,,,,
14 to 17 years ,977,817,- ,- ,- ,137,666,,,,,,,,,,
18 to 24 years ,"4,831","2,206",- ,- ,- ,39,427,,,,,,,,,,
25 years and over ,"29,199","2,946",- ,-
