.000,"Life, physical, and social science occupations","259","+/-218","41","477"
"C24060",70.000,"Community and social services occupations","0","+/-303","0","303"
"C24060",71.000,"Legal occupations","420","+/-279","141","699"
"C24060",72.000,"Education, training, and library occupations","185","+/-143","42","328"
"C24060",73.000,"Arts, design, entertainment, sports, and media occupations","821","+/-361","460","1,182"
"C24060",74.000,"Healthcare practitioner and technical occupations","1,208","+/-545","663",
