7","*"
"DP02",127.0,"English","14.2%","1.2","16.0%","1.2",
"DP02",128.0,"French (except Basque)","3.7%","0.7","6.1%","0.8","*"
"DP02",129.0,"French Canadian","0.8%","0.2","1.4%","0.7",
"DP02",130.0,"German","23.2%","1.6","24.7%","1.7",
"DP02",131.0,"Greek","0.4%","0.2","0.3%","0.1",
"DP02",132.0,"Hungarian","1.2%","0.6","0.9%","0.4",
"DP02",133.0,"Irish","18.5%","1.5","16.6%","1.4",
"DP02",134.0,"Italian","6.4%","1.1","5.8%","0.8",
"DP02",135.0,"Lithuanian","0.4%","0.2","0.2%","0.1",
"DP02",136.0,"Norwegian
