an (032-045)",125,"Different state","3.3","+/-0.5","3.7","+/-1.4"
"535","German (032-045)",126,"Abroad","0.4","+/-0.2","0.1","+/-0.1"
"535","German (032-045)",127,"Total population","665,912","+/-4,758","81,607","+/-7,195"
"535","German (032-045)",128,"Native","649,557","+/-5,292","80,489","+/-7,135"
"535","German (032-045)",129,"Male","48.7","+/-0.3","49.9","+/-2.6"
"535","German (032-045)",130,"Female","51.3","+/-0.3","50.1","+/-2.6"
"535","German (032-045)",131,"Foreign born","16,355","+/-2,415","1,118",
