,"Female:","84,435","+/-1,863","82,572","86,298"
"B17001D",47.000,"Under 5 years","4,433","+/-683","3,750","5,116"
"B17001D",48.000,"5 years","996","+/-474","522","1,470"
"B17001D",49.000,"6 to 11 years","6,073","+/-991","5,082","7,064"
"B17001D",50.000,"12 to 14 years","2,106","+/-659","1,447","2,765"
"B17001D",51.000,"15 years","1,139","+/-403","736","1,542"
"B17001D",52.000,"16 and 17 years","1,492","+/-455","1,037","1,947"
"B17001D",53.000,"18 to 24 years","5,466","+/-544","4,922","6,010"
"B17001D",54.0
