","0.2","+/-0.4","0.0","+/-0.8",,
"S0701",23.0,"White alone, not Hispanic or Latino","N","N","N","N","N","N","N","N","N","N",,
"S0701",23.3,,,,,,,,,,,,,
"S0701",23.5,"CITIZENSHIP STATUS",,,,,,,,,,,,
"S0701",24.0,"Native","111,002","+/-7,929","4.8","+/-1.8","4.0","+/-1.8","1.1","+/-0.5","0.0","+/-0.2",,
"S0701",25.0,"Foreign born","89,376","+/-7,674","5.9","+/-1.8","2.6","+/-1.2","0.9","+/-0.8","1.3","+/-0.9",,
"S0701",26.0,"Naturalized U.S. citizen","59,261","+/-4,731","4.2","+/-1.8","2.0","+/-1.3","0.8","+
