, truck, or van:","282,343","+/-5,715","276,628","288,058"
"B99082",3.000,"Imputed","16,212","+/-2,810","13,402","19,022"
"B99082",4.000,"Not imputed","266,131","+/-6,003","260,128","272,134"
"B99082",5.000,"Other means (including those who worked at home)","70,879","+/-5,470","65,409","76,349"
"B99083",.,"IMPUTATION OF TIME LEAVING HOME TO GO TO WORK",,,,
"B99083",.,"Universe:  Workers 16 years and over",,,,
"B99083",1.000,"Total:","353,222","+/-5,159","348,063","358,381"
"B99083",2.000,"Did not work at ho
