16.000,"Healthcare practitioner and technical occupations","N","N","N","N"
"B24010F",17.000,"Service occupations:","N","N","N","N"
"B24010F",18.000,"Healthcare support occupations","N","N","N","N"
"B24010F",19.000,"Protective service occupations","N","N","N","N"
"B24010F",20.000,"Food preparation and serving related occupations","N","N","N","N"
"B24010F",21.000,"Building and grounds cleaning and maintenance occupation","N","N","N","N"
"B24010F",22.000,"Personal care and service occupations","N","N","N","N"
