White alone",112,"Civilian population 5 to 15 years","135,331","+/-1,763","79,755","+/-3,133"
"002","White alone",113,"With any disability","7.1","+/-1.2","7.2","+/-1.5"
"002","White alone",114,"Civilian population 16 to 64 years","609,637","+/-2,157","426,344","+/-6,338"
"002","White alone",115,"With any disability","13.7","+/-0.8","13.9","+/-1.0"
"002","White alone",116,"No disability","86.3","+/-0.8","86.1","+/-1.0"
"002","White alone",117,"Civilian population 65 years and over","141,304","+/-758","124,5
