Total population",79,"Kindergarten",,,"4.7","+/-0.8"
"001","Total population",80,"Elementary school (grades 1-8)",,,"42.8","+/-1.9"
"001","Total population",81,"High school (grades 9-12)",,,"23.1","+/-1.4"
"001","Total population",82,"College or graduate school",,,"23.9","+/-1.7"
"001","Total population",83,"Male 3 years and over enrolled in school",,,"71,343","+/-2,584"
"001","Total population",84,"Percent enrolled in kindergarten to grade 12",,,"76.2","+/-2.1"
"001","Total population",85,"Percent enrolled
