tenance, and repair occupations","N","N","N","N"
"C24010G",15.000,"Production, transportation, and material moving occupations","N","N","N","N"
"C24010H",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C24010H",.,"Universe:  Civilian employed White alone, not Hispanic or Latino population 16 years and over",,,,
"C24010H",1.000,"Total:","207,889","+/-6,001","201,888","213,890"
"C24010H",2.000,"Male:","112,442","+/-3,649","108,793","116,0
