0,60,5 W CUSTER CITY,CUSTER,OK,35.66,-98.98,(OUN)
0025,UNK,25 W SWEETWATER,MIAMI-DADE,FL,25.76,-80.77,SEVERAL WOOD POWER POLES LENDING IN DIFFERENT DIRECTIONS NEAR MICCOSUKEE SCHOOL 20 MILES WEST OF KROME AVENUE ALONG US 41. (MFL)
0050,UNK,UNIVERSITY OF MIAMI,MIAMI-DADE,FL,25.71,-80.29,CONCRETE TABLES BLOWN OVER ON CAMPUS. SEVERAL CHAIRS BLOWN OVER AND RIPPED APART. STANDING WATER OF FIVE INCHES IN PARKING LOT FROM HEAVY RAINFALL. (MFL)
0050,UNK,STEELE CITY,JEFFERSON,NE,40.04,-97.02,TREES AND POWER LINES DO
