 alone or in combination with one or more other races, not Hispanic or Latino",137,"Not a U.S. citizen","12,502","+/-2,409","2,111","+/-982"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",138,"Male","58.4","+/-8.0","31.4","+/-18.5"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",139,"Female","41.6","+/-8.0","68.6","+/-18.5"
"452","White alone or in combination with one or more other races, not Hispanic or Latino",140,"Ent
