,763","1,631,134,932","480,769","7,280","1,631",0,,7.28,1.63
Jul-96,"7,427,644,369","1,366,558,611","839,799","7,428","1,367",1,,7.43,1.37
Aug-96,"7,989,089,820","1,551,337,912","59,555","7,989","1,551",0,,7.99,1.55
Sep-96,"7,981,607,702","1,285,156,181","11,798","7,982","1,285",0,,7.98,1.29
Oct-96,"9,493,225,233","1,480,994,880","1,724,989","9,493","1,481",2,,9.49,1.48
Nov-96,"8,227,734,618","1,333,000,313","341,296","8,228","1,333",0,,8.23,1.33
Dec-96,"8,041,505,864","1,275,617,925","101,787","8,042
