 more other races",6,"Male","50.6","+/-0.4","50.5","+/-0.5"
"003","White alone or in combination with one or more other races",7,"Female","49.4","+/-0.4","49.5","+/-0.5"
"003","White alone or in combination with one or more other races",8,"Under 5 years","6.9","+/-0.3","6.7","+/-0.3"
"003","White alone or in combination with one or more other races",9,"5 to 17 years","18.1","+/-0.3","17.4","+/-0.4"
"003","White alone or in combination with one or more other races",10,"18 to 24 years","9.7","+/-0.4","9.1","+
