$14,999","1,222","+/-775","447","1,997"
"B19325",12.000,"$15,000 to $17,499","4,572","+/-1,327","3,245","5,899"
"B19325",13.000,"$17,500 to $19,999","3,514","+/-1,415","2,099","4,929"
"B19325",14.000,"$20,000 to $22,499","4,384","+/-1,316","3,068","5,700"
"B19325",15.000,"$22,500 to $24,999","2,475","+/-971","1,504","3,446"
"B19325",16.000,"$25,000 to $29,999","6,191","+/-1,640","4,551","7,831"
"B19325",17.000,"$30,000 to $34,999","8,602","+/-2,114","6,488","10,716"
"B19325",18.000,"$35,000 to $39,999","8,8
