0US2508","1"," 34","         6,150","           726","        11,574"
"50000US2508","1"," 35","         3,195","           810","         5,580"
"50000US2508","1"," 36","         1,440","             0","         3,819"
"50000US2508","1"," 37","             N","             N","             N"
"50000US2508","1"," 38","             N","             N","             N"
"50000US2508","1"," 39","             N","             N","             N"
"50000US2508","1"," 40","             N","             N","  
