eveport Regional,"305,011","56,360",65,0,"361,436",,,,,,,
Lafayette Regional,"155,965","24,478",120,0,"180,563",,,,,,,
Alexandria International,"99,561","23,163",20,0,"122,744",,,,,,,
Monroe Regional,"92,022","23,132",5,0,"115,159",,,,,,,
Lake Charles Regional,"66,089",0,76,0,"66,165",,,,,,,
"NOTE: Rank order by total enplaned passengers on air carriers of all types, including foreign air carriers.  Data differ from those in table 4-4, which include only enplanements on large certificated carriers.",,,
