",187,"Farming, fishing, and forestry occupations","0.4","+/-0.2","0.1","+/-0.2"
"535","German (032-045)",188,"Construction, extraction, maintenance, and repair occupations","19.5","+/-1.4","14.2","+/-3.3"
"535","German (032-045)",189,"Production, transportation, and material moving occupations","13.0","+/-1.2","9.2","+/-2.5"
"535","German (032-045)",190,"Female civilian employed population 16 years and over","197,909","+/-4,915","38,425","+/-2,637"
"535","German (032-045)",191,"Management, professional, an
