ng and hunting, and mining:","1,358","+/-622","736","1,980"
"B24050",111.000,"Agriculture, forestry, fishing and hunting","1,358","+/-622","736","1,980"
"B24050",112.000,"Mining","0","+/-265","0","265"
"B24050",113.000,"Construction","0","+/-265","0","265"
"B24050",114.000,"Manufacturing","0","+/-265","0","265"
"B24050",115.000,"Wholesale trade","77","+/-125","0","202"
"B24050",116.000,"Retail trade","0","+/-265","0","265"
"B24050",117.000,"Transportation and warehousing, and utilities:","0","+/-265","0","2
